FieldID	TRAIT_OF_INTEREST	EXCLUDED_NEALE	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link	EXCLUDED_PHARMA	EXCLUDED
1468					100393	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal type	418291	461060	Complete	Categorical single		Data	Primary	Unisex	3	1	100393	ACE touchscreen question What type of cereal do you mainly eat? If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468		
1478					100394	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Salt added to food	501653	557337	Complete	Categorical single		Data	Primary	Unisex	3	1	100394	ACE touchscreen question Do you add salt to your food? (Do not include salt used in cooking) If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1478		
1488					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Tea intake	501653	557337	Complete	Integer	cups/day	Data	Primary	Unisex	3	1	100373	ACE touchscreen question How many cups of tea do you drink each DAY? (Include black and green tea) The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488		
1498					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee intake	501653	557337	Complete	Integer	cups/day	Data	Primary	Unisex	3	1	100373	ACE touchscreen question How many cups of coffee do you drink each DAY? (Include decaffeinated coffee) The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498		
1508					100397	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee type	390290	432076	Complete	Categorical single		Data	Primary	Unisex	3	1	100397	ACE touchscreen question What type of coffee do you usually drink? If the participant activated the Help button they were shown the message:     If you drink more than one type of coffee, please select the one that you drink the most. If you are unsure, select Do not know.      ~F1508~ was collected from participants who indicated that they drank at least 1 cup of coffee each day or less than one cup each day, as defined by their answers to ~F1498~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508		
1518					100398	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Hot drink temperature	501653	557337	Complete	Categorical single		Data	Primary	Unisex	3	1	100398	ACE touchscreen question How do you like your hot drinks? (Such as coffee or tea)	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1518		
1528					100373	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Water intake	501653	557337	Complete	Integer	glasses/day	Data	Primary	Unisex	3	1	100373	ACE touchscreen question How many glasses of water do you drink each DAY?  The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528		
1538					100400	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Major dietary changes in the last 5 years	501653	557337	Complete	Categorical single		Data	Primary	Unisex	3	1	100400	ACE touchscreen question Have you made any major changes to your diet in the last 5 years?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1538		
1548					100401	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet	100052	Variation in diet	498716	553562	Complete	Categorical single		Data	Primary	Unisex	3	1	100401	ACE touchscreen question Does your diet vary much from week to week?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1548		
1558					100402	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake frequency.	501653	557337	Complete	Categorical single		Data	Primary	Unisex	3	1	100402	ACE touchscreen question About how often do you drink alcohol? If the participant activated the Help button they were shown the message:     If this varies a lot, please provide an average considering your intake over the last year	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1558		
1568					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly red wine intake	348566	386324	Complete	Integer	glasses	Data	Primary	Unisex	3	1	100291	ACE touchscreen question In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle) The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling red wine here.      ~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568		
1578					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly champagne plus white wine intake	348565	386323	Complete	Integer	glasses	Data	Primary	Unisex	3	1	100291	ACE touchscreen question In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle) The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling white wine here.      ~F1578~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578		
1588					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly beer plus cider intake	348565	386323	Complete	Integer	pints	Data	Primary	Unisex	3	1	100291	ACE touchscreen question In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness) The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   ~F1588~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588		
1598					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly spirits intake	348565	386323	Complete	Integer	measures	Data	Primary	Unisex	3	1	100291	ACE touchscreen question In an average WEEK, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle;  spirits include drinks such as whisky, gin, rum, vodka, brandy) The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     For mixed drinks that contain spirits or liqueurs, count one bottle as one measure. There is a question later on alcopops      ~F1598~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598		
1608					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly fortified wine intake	348565	386323	Complete	Integer	glasses	Data	Primary	Unisex	3	1	100291	ACE touchscreen question In an average WEEK, how many glasses of fortified wine would you drink? (There are 12 glasses in an average bottle) (Fortified wines include drinks such as sherry, port, vermouth) The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Fortified wines include: Sherry, Port, Vermouth, Muscat, Madeira, Malaga, Tokay, Frontignan, Frontignac.      ~F1608~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608		
1618					100416	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol usually taken with meals	393705	439316	Complete	Categorical single		Data	Primary	Unisex	3	1	100416	ACE touchscreen question When you drink alcohol is it usually with meals? ~F1618~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1618		
1628					100417	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake versus 10 years previously	460832	512352	Complete	Categorical single		Data	Primary	Unisex	3	1	100417	ACE touchscreen question Compared to 10 years ago, do you drink? ~F1628~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1628		
1647		YES-NEALELAB			100420	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Country of birth (UK/elsewhere)	501644	533645	Complete	Categorical single		Data	Primary	Unisex	3	1	100420	ACE touchscreen question Where were you born?   Participants who indicated they were born inside the United Kingdom were asked during the verbal interview in what area they had been born (~F129~ and ~F130~).   Participants who indicated they were born outside the United Kingdom and Republic of Ireland were asked during the verbal interview in what country they had been born (~F20115~) and when they had immigrated (~F3659~).	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1647		
1677					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Breastfed as a baby	501644	533645	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Were you breastfed when you were a baby?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1677		
1687					100428	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Comparative body size at age 10	501644	533645	Complete	Categorical single		Data	Primary	Unisex	3	1	100428	ACE touchscreen question When you were 10 years old, compared to average would you describe yourself as:	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1687		
1697					100429	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Comparative height size at age 10	501644	533645	Complete	Categorical single		Data	Primary	Unisex	3	1	100429	ACE touchscreen question When you were 10 years old, compared to average would you describe yourself as:	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1697		
1707					100430	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Handedness (chirality/laterality)	501644	533645	Complete	Categorical single		Data	Primary	Unisex	3	1	100430	ACE touchscreen question Are you right or left handed?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1707		
1717					100431	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Skin colour	501643	533644	Complete	Categorical single		Data	Primary	Unisex	3	1	100431	ACE touchscreen question What best describes the colour of your skin without tanning? If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1717		
1727					100432	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Ease of skin tanning	498438	529869	Complete	Categorical single		Data	Primary	Unisex	3	1	100432	ACE touchscreen question What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1727		
1737					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Childhood sunburn occasions	498438	529869	Complete	Integer	times	Data	Primary	Unisex	3	1	100291	ACE touchscreen question Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering? The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737		
1747					100434	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Hair colour (natural, before greying)	501643	533644	Complete	Categorical single		Data	Primary	Unisex	3	1	100434	ACE touchscreen question What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey) If the participant activated the Help button they were shown the message:     If you are unsure, please select the colour closest to your natural adult hair colour or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1747		
1757					100435	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Facial ageing	498713	553559	Complete	Categorical single		Data	Primary	Unisex	3	1	100435	ACE touchscreen question Do people say that you look:	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1757		
1767					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Adopted as a child	501650	557334	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Were you adopted as a child?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1767		
1777					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Part of a multiple birth	494300	525830	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Are you a twin, triplet or other multiple birth? ~F1777~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1777		
1787					100349	UK Biobank Assessment Centre > Touchscreen > Early life factors	100033	Maternal smoking around birth	494300	525830	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Did your mother smoke regularly around the time when you were born? ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1787		
1797					100349	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Father still alive	494315	549216	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Is your father still alive? ~F1797~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1797		
1807					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Father's age at death	383973	425080	Complete	Integer	years	Data	Primary	Unisex	3	1	100291	ACE touchscreen question What was his age when he died? The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1807~ was collected from participants who indicated their father has died, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father has died, as defined by their answers to ~F1797~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807		
1835					100349	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Mother still alive	494315	549216	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Is your mother still alive? ~F1835~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1835		
1845		YES-NEALELAB			100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Mother's age	199413	214756	Complete	Integer	years	Data	Primary	Unisex	3	1	100291	ACE touchscreen question What is her age now? The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1845~ was collected from participants who indicated their mother is still alive, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother is still alive, as defined by their answers to ~F1835~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845		
1873					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Number of full brothers	494312	549213	Complete	Integer		Data	Primary	Unisex	3	1	100291	ACE touchscreen question How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half-brothers, step-brothers or adopted brothers) The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1873~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873		
1883					100291	UK Biobank Assessment Centre > Touchscreen > Family history	100034	Number of full sisters	494312	549213	Complete	Integer		Data	Primary	Unisex	3	1	100291	ACE touchscreen question How many sisters do you have? (Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters) The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1883~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883		
1920					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Mood swings	501646	557330	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Does your mood often go up and down? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1920		
1930					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Miserableness	501646	557330	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you ever feel 'just miserable' for no reason? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1930		
1940					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Irritability	501646	557330	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Are you an irritable person? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1940		
1950					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Sensitivity / hurt feelings	501645	557329	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Are your feelings easily hurt? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1950		
1960					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Fed-up feelings	501645	557329	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you often feel 'fed-up'? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1960		
1970					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Nervous feelings	501645	557329	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Would you call yourself a nervous person? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1970		
1980					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worrier / anxious feelings	501644	557328	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Are you a worrier? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1980		
1990					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Tense / 'highly strung'	501644	557328	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Would you call yourself tense or 'highly strung'? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1990		
2000					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Worry too long after embarrassment	501644	557328	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you worry too long after an embarrassing experience? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2000		
2010					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Suffer from 'nerves'	501644	557328	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you suffer from 'nerves'? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2010		
2020					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Loneliness, isolation	501643	557327	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you often feel lonely? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2020		
2030					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Guilty feelings	501643	557327	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Are you often troubled by feelings of guilt? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2030		
2040					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Risk taking	501643	557327	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Would you describe yourself as someone who takes risks? If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2040		
2050					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of depressed mood in last 2 weeks	501643	557327	Complete	Categorical single		Data	Primary	Unisex	3	1	100484	ACE touchscreen question Over the past two weeks, how often have you felt down, depressed or hopeless? If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2050		
2060					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of unenthusiasm / disinterest in last 2 weeks	501642	557326	Complete	Categorical single		Data	Primary	Unisex	3	1	100484	ACE touchscreen question Over the past two weeks, how often have you had little interest or pleasure in doing things? If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2060		
2070					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tenseness / restlessness in last 2 weeks	501641	557325	Complete	Categorical single		Data	Primary	Unisex	3	1	100484	ACE touchscreen question Over the past two weeks, how often have you felt tense, fidgety or restless? If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2070		
2080					100484	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tiredness / lethargy in last 2 weeks	501640	557324	Complete	Categorical single		Data	Primary	Unisex	3	1	100484	ACE touchscreen question Over the past two weeks, how often have you felt tired or had little energy? If the participant activated the Help button they were shown the message:     Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2080		
2090					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen doctor (GP) for nerves, anxiety, tension or depression	501639	557323	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2090		
2100					100349	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health	100060	Seen a psychiatrist for nerves, anxiety, tension or depression	501639	557323	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Have you ever seen a psychiatrist for nerves, anxiety, tension or depression?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2100		
2110					100501	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support	100061	Able to confide	501638	557322	Complete	Categorical single		Data	Primary	Unisex	3	1	100501	ACE touchscreen question How often are you able to confide in someone close to you?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2110		
2129					100503	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Answered sexual history questions	501636	557320	Complete	Categorical single		Data	Primary	Unisex	3	1	100503	ACE touchscreen question The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2129		
2139					100504	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Age first had sexual intercourse	456354	506361	Complete	Integer	years	Data	Primary	Unisex	3	1	100504	ACE touchscreen question What was your age when you first had sexual intercourse? (Sexual intercourse includes vaginal, oral or anal intercourse) The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2139		
2149					100291	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Lifetime number of sexual partners	452147	501649	Complete	Integer		Data	Primary	Unisex	3	1	100291	ACE touchscreen question About how many sexual partners have you had in your lifetime? The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.      ~F2149~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149		
2159					100352	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Ever had same-sex intercourse	452147	501649	Complete	Categorical single		Data	Primary	Unisex	3	1	100352	ACE touchscreen question Have you ever had sexual intercourse with someone of the same sex? If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse.      ~F2159~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2159		
2178					100508	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	Overall health rating	501632	557316	Complete	Categorical single		Data	Primary	Unisex	3	1	100508	ACE touchscreen question In general how would you rate your overall health?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2178		
2188					100349	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health	100042	Long-standing illness, disability or infirmity	501632	557316	Complete	Categorical single		Data	Primary	Unisex	3	1	100349	ACE touchscreen question Do you have any long-standing illness, disability or infirmity?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2188		
2207					100352	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Wears glasses or contact lenses	501632	557316	Complete	Categorical single		Data	Primary	Unisex	3	1	100352	ACE touchscreen question Do you wear glasses or contact lenses to correct your vision?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2207		
2217					100291	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Age started wearing glasses or contact lenses	444403	492423	Complete	Integer		Data	Primary	Unisex	3	1	100291	ACE touchscreen question What age did you first start to wear glasses or contact lenses? The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2217~ was collected from participants who indicated they wear glasses or contact lenses to correct their vision, as defined by their answers to ~F2207~	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2217		
2227					100352	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight	100041	Other eye problems	501631	557315	Complete	Categorical single		Data	Primary	Unisex	3	1	100352	ACE touchscreen question Do you have any other problems with your eyes or eyesight?	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2227		
2237					100639	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Plays computer games	501631	557315	Complete	Categorical single		Data	Primary	Unisex	3	1	100639	ACE touchscreen question Do you play computer games? If the participant activated the Help button they were shown the message:     Answer this question thinking about the past year.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2237		
